"Business.File.Number","License.Type","Entity.Name","Trade.Name","Facility.Zip.Code","ADDRESS"
"2012-BFN-1060615","Marijuana Grow Center","HADCAV ENTERPRISES, INC.","PURE MEDICAL DISPENSARY","80239","5475 N PEORIA ST , DENVER, CO"
"2012-BFN-1060656","Marijuana Grow Center","PATIENTS PLUS, LLC","","80204","505 N BRYANT ST , DENVER, CO"
"2012-BFN-1063675","Infrastructure Production Manufacturing","EPMM COLORADO, LLC","EDIPURE","80216","4880 E 41ST AVE , DENVER, CO"
"2012-BFN-1061574","Marijuana Grow Center","MEDICALLY CORRECT LLC","INCREDIBLES","80223","1308 S JASON ST , DENVER, CO"
"2012-BFN-1061590","Marijuana Grow Center","JGB VENTURES, LLC","DANK, LLC","80207","3835 N ELM ST , DENVER, CO"
"2012-BFN-1063854","Marijuana Grow Center","MILE HIGH MEDICAL CANNABIS, LLC","LIT","80216","4611 E 46TH AVE , DENVER, CO"
"2013-BFN-1069488","Retail Marijuana Store","GREEN KIWI 2, LLC","LIVWELL","80203","1660 N PEARL ST , DENVER, CO"
"2013-BFN-1069489","Retail Marijuana Store","GREEN KIWI 2, LLC","LIVWELL","80205","3980 N FRANKLIN ST , DENVER, CO"
"2013-BFN-1066527","Infrastructure Production Manufacturing","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","80211","1045 W 45TH AVE , DENVER, CO"
"2013-BFN-1070409","Marijuana Grow Center","SUPER FARM, LLC","SUPER FARM","80207","5395 E 39TH AVE , DENVER, CO"
"2013-BFN-1070416","Marijuana Grow Center","COLORADO FARMS, INC.","LIGHTSHADE","80239","11975 E 40TH AVE , DENVER, CO"
"2013-BFN-1070426","Marijuana Grow Center","DELTA-9 DELIGHTS LLC","REEFER MADNESS","80216","4425 E 46TH AVE , DENVER, CO"
"2013-BFN-1069815","Retail Marijuana Store","ALTITUDE WELLNESS CENTER. LLC","NATURE'S HERBS & WELLENSS DTC","80231","3435 S YOSEMITE ST , DENVER, CO"
"2013-BFN-1069798","Retail Marijuana Store","ARES STRATEGIES, INC","TERRAPIN CARE STATION","80203","1  BROADWAY  , DENVER, CO"
"2013-BFN-1069906","Marijuana Grow Center","CO-AGRONOMICS LLC","THE GREEN DEPOT","80216","4414 N VINE ST , DENVER, CO"
"2013-BFN-1070316","Retail Marijuana Store","CURE MEDICAL PHARM INC.","RIVERROCK","80204","990 W 6TH AVE , DENVER, CO"
"2014-BFN-1071022","Marijuana Grow Center","LIVWELL I, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2013-BFN-1069366","Retail Marijuana Store","HIGH COUNTRY SUPPLY LLC","COLORADO HARVEST COMPANY","80223","1178 S KALAMATH ST , DENVER, CO"
"2014-BFN-1070915","Infrastructure Production Manufacturing","HERBANOIDS, LLC","HERBANOIDS","80216","5060 N LOGAN ST , DENVER, CO"
"2013-BFN-1069335","Retail Marijuana Store","HOLLY MEDICINAL SERVICES LLC","THE CLINIC ON COLORADO","80222","2020 S COLORADO BLVD , DENVER, CO"
"2013-BFN-1069369","Marijuana Grow Center","HIGH COUNTRY SUPPLY, LLC","COLORADO HARVE2ST COMPANY","80223","2335 S PLATTE DR , DENVER, CO"
"2014-BFN-1071265","Marijuana Grow Center","UNIVERSAL HERBS, LLC","UNIVERSAL HERBS","80207","5959 E 39TH AVE , DENVER, CO"
"2014-BFN-1073782","Retail Marijuana Store","ABUNDANT HEALTH DENVER, LLC","HERBAN UNDERGROUND","80203","70 N BROADWAY  , DENVER, CO"
"2014-BFN-1073783","Marijuana Grow Center","ABUNDANT HEALTH DENVER, LLC","HERBAN UNDERGROUND, LLC","80203","70 N BROADWAY  , DENVER, CO"
"2013-BFN-1069314","Retail Marijuana Store","TIMBERLINE HERBAL CLINIC & WELLNESS CENTER LLC","","80216","3995 E 50TH AVE , DENVER, CO"
"2013-BFN-1069958","Marijuana Grow Center","RJJ FRISCO LLC","NATIVE ROOTS FRISCO","80216","4990 N DAHLIA ST , DENVER, CO"
"2014-BFN-0004816","Marijuana Grow Center","3B-38, LLC","BUDDY BOY","80239","4600 N IRONTON ST , DENVER, CO"
"2014-BFN-0004448","Medical Marijuana Center","LBW CONSULTING GROUP, LLC","","80239","5070 N OAKLAND ST , DENVER, CO"
"2014-BFN-0004969","Marijuana Grow Center","MILE HIGH WELLNESS II, LLC.","MILE HIGH WELLNESS-GREEN STREET","80223","2291 S KALAMATH ST , DENVER, CO"
"2015-BFN-0000349","Marijuana Grow Center","KTA LLC","","80239","12585 E 39TH AVE , DENVER, CO"
"2015-BFN-0000240","Marijuana Grow Center","BK HOLDINGS, LLC","THE HERBAL CENTER","80239","12005 E 37TH AVE , DENVER, CO"
"2015-BFN-0002030","Marijuana Grow Center","MILE HIGH WELLNESS II, LLC","MILE HIGH WELLNESS GREEN STREET","80223","2291 S KALAMATH ST , DENVER, CO"
"2015-BFN-0001690","Marijuana Grow Center","KEENS GREENS EDIBLES, LLC","","80223","1015 W EVANS AVE , DENVER, CO"
"2015-BFN-0003318","Marijuana Grow Center","JPJR AND ASSOCIATES, LLC","STASH HOUSE","80211","4707 N LIPAN ST , DENVER, CO"
"2015-BFN-0005050","Infrastructure Production Manufacturing","NATURE MED, INC.","KIND-MEDS",NA,"745 N Federal  , DENVER, CO"
"2015-BFN-0007611","Medical Marijuana Center","LOST CREEK VENTURES, INC","BONFIRE CANNABIS COMPANY","80216","4837 N WASHINGTON ST , DENVER, CO"
"2015-BFN-0007694","Marijuana Grow Center","RJJ SHERIDAN, LLC","NATIVE ROOTS LITTLETON","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0008411","Marijuana Grow Center","AMERICAN INDUSTRY, LLC","DENVER CLONE STORE","80216","4571 N IVY ST , DENVER, CO"
"2016-BFN-0002796","Marijuana Test Facility","NORDIC ANALYTICAL LABORATORIES LLC","","80207","3960 N GRAPE ST , DENVER, CO"
"2016-BFN-0004411","Retail Marijuana Store","C.G. INDUSTRY, LLC","CROSS GENETICS","80216","4902 E SMITH RD , DENVER, CO"
"2016-BFN-0005815","Infrastructure Production Manufacturing","LARSEN GROUP II LLC","KJL COMPOUNDS","80216","3215 E 42ND AVE , DENVER, CO"
"2016-BFN-0007402","Retail Marijuana Store","YUMA WAY, LLC","1136 YUMA","80204","1136 N YUMA CT , DENVER, CO"
"2017-BFN-0001542","Infrastructure Production Manufacturing","COLORADO MOONROCKS LLC","","80216","5095 N Colorado  , DENVER, CO"
"2013-BFN-1067886","Infrastructure Production Manufacturing","KIND LOVE LLC","KIND LOVE","80239","4890 N JOLIET ST , DENVER, CO"
"2017-BFN-0006965","Marijuana Transporter","LSC COLORADO, INC","GREEN TRUCK","80223","153 N VALLEJO ST , DENVER, CO"
"2018-BFN-0002885","Marijuana Grow Center","LIGHTSHADE LABS, LLC","LIGHTSHADE","80216","4335 N Race St , DENVER, CO"
"2010-BFN-1047807","Medical Marijuana Center","BUDDIES WELLNESS LLC","LA BODEGA","80223","1270 W CEDAR AVE , DENVER, CO"
"2010-BFN-1045555","Medical Marijuana Center","CJJ SERVICES LLC","SACRED SEED","80222","5885 E EVANS AVE , DENVER, CO"
"2012-BFN-1060924","Marijuana Grow Center","BGOOD VENTURES, LLC","BGOOD","80223","621 S JASON ST , DENVER, CO"
"2012-BFN-1063646","Marijuana Grow Center","POSTMODERN HEALTH, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2012-BFN-1060888","Marijuana Grow Center","URBAN HEALTH & WELLNESS INC","URBAN DISPENSARY","80216","4850 N JACKSON ST , DENVER, CO"
"2012-BFN-1060885","Marijuana Grow Center","PLATTE VALLEY DISPENSARY, LLC","PLATTE VALLEY DISPENSARY","80205","3104  BLAKE ST , DENVER, CO"
"2012-BFN-1060905","Marijuana Grow Center","MJLQ, LLC","WHOLE MEDS","80207","5959 E 39TH AVE , DENVER, CO"
"2012-BFN-1060974","Marijuana Grow Center","RME GROUP, LLC","AFFINITY","80216","5200 E SMITH RD , DENVER, CO"
"2012-BFN-1060976","Marijuana Grow Center","BK HOLDINGS, LLC","","80239","12005 E 37TH AVE , DENVER, CO"
"2012-BFN-1060596","Marijuana Grow Center","ABUNDANT HEALTH DENVER, LLC","HERBAN UNDERGROUND, LLC","80203","70 N BROADWAY  , DENVER, CO"
"2012-BFN-1060801","Marijuana Grow Center","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","80211","1045 W 45TH AVE , DENVER, CO"
"2012-BFN-1060835","Marijuana Grow Center","DENCO, LLC","","80216","5155 E 46TH AVE , DENVER, CO"
"2012-BFN-1061553","Marijuana Grow Center","DOCTORS ORDERS LLC","DOCTORS ORDERS","80223","1395 S ACOMA ST , DENVER, CO"
"2012-BFN-1063567","Marijuana Grow Center","SWEETWATER PARTNERS LLC","EL JEFE","80216","4260  KEARNEY ST , DENVER, CO"
"2012-BFN-1060761","Marijuana Grow Center","Pearl Center LLC","Pink House Pearl","80207","4925 E 38TH AVE , DENVER, CO"
"2012-BFN-1060771","Marijuana Grow Center","SWEETWATER PARTNERS LLC","THE PREZ","80216","4240 N KEARNEY ST , DENVER, CO"
"2012-BFN-1060774","Marijuana Grow Center","A CUT OFF THE TOP MEDICAL MARIJUANA LLC","","80204","2059 W 9TH AVE , DENVER, CO"
"2012-BFN-1060815","Marijuana Grow Center","HIGH STREET GROWERS, LLC","","80216","4500 N JASON ST , DENVER, CO"
"2012-BFN-1061612","Marijuana Grow Center","AMERICAN INDUSTRY, LLC","DENVER CLONE STORE","80216","4571 N IVY ST , DENVER, CO"
"2013-BFN-1069092","Retail Marijuana Store","MILE HIGH MEDICAL CANNABIS, LLC","LIT","80204","1630 N FEDERAL BLVD , DENVER, CO"
"2013-BFN-1067496","Infrastructure Production Manufacturing","THE GIVING TREE OF DENVER, LLC","","80223","1255 S HURON ST , DENVER, CO"
"2013-BFN-1067497","Infrastructure Production Manufacturing","HERBAL MEDICAL INSTITUTE LLC","DRAGON ORIGINALS","80216","4837 N WASHINGTON ST , DENVER, CO"
"2013-BFN-1069104","Marijuana Grow Center","GHT LLC","SUMMIT CONCENTRATES","80216","5020 E 41ST AVE , DENVER, CO"
"2013-BFN-1069108","Retail Marijuana Store","DOCTOR'S ORDERS, LLC","DOCTOR'S ORDERS","80211","1406 W 38TH AVE , DENVER, CO"
"2013-BFN-1068925","Retail Marijuana Store","THE GREEN SOLUTION, LLC","","80216","4400  GRAPE ST , DENVER, CO"
"2013-BFN-1065216","Infrastructure Production Manufacturing","ALLIED CONCESSIONS GROUP, INC.","ORGANALABS","80223","2121 S JASON ST , DENVER, CO"
"2013-BFN-1069567","Marijuana Grow Center","DENVER PACKAGING COMPANY","","80216","5100 N COOK ST , DENVER, CO"
"2013-BFN-1069605","Marijuana Grow Center","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","80211","1045 W 45TH AVE , DENVER, CO"
"2013-BFN-1069606","Infrastructure Production Manufacturing","MAHATMA GANGA, LLC","MAHATMA EXTREME CONCENTRATES","80211","1045 W 45TH AVE , DENVER, CO"
"2013-BFN-1068777","Marijuana Grow Center","DENCO, LLC","","80216","4300 E 51ST AVE , DENVER, CO"
"2013-BFN-1069209","Marijuana Grow Center","POTCO, LLC","POTCO","80239","11101 E 51ST AVE , DENVER, CO"
"2013-BFN-1069741","Marijuana Grow Center","URBAN CANNABIS II, LLC","HEALING HOUSE","80204","1100 N YUMA CT , DENVER, CO"
"2013-BFN-1070232","Infrastructure Production Manufacturing","BEYOND BROADWAY, LLC","INFUSIASM","80216","5141 N FRANKLIN ST , DENVER, CO"
"2013-BFN-1068501","Marijuana Grow Center","LIVWELL II, LLC","LIVWELL","80216","5141 N FRANKLIN ST , DENVER, CO"
"2013-BFN-1068512","Medical Marijuana Center","RJJ SHERIDAN, LLC","NATIVE ROOTS LITTLETON","80123","7870 W QUINCY AVE , DENVER, CO"
"2013-BFN-1068898","Retail Marijuana Store","ALTERNATIVE MEDICINE ON CAPITOL HILL LLC","","80218","1301 N MARION ST , DENVER, CO"
"2013-BFN-1068454","Marijuana Grow Center","JULIE CAMILLE LLC","SWEET GRASS KITCHEN","80223","1135 S JASON ST , DENVER, CO"
"2013-BFN-1068461","Marijuana Grow Center","D&D CONSULTING, INC","KAYA CANNABIS","80211","1127 W 46TH AVE , DENVER, CO"
"2013-BFN-1069434","Marijuana Grow Center","COMPASSIONATE CARE GIVERS, INC.","","80216","6666 E Stapleton DR , DENVER, CO"
"2013-BFN-1068498","Marijuana Grow Center","MEDICALLY CORRECT, LLC","INCREDIBLES","80204","1150 W 5TH AVE , DENVER, CO"
"2013-BFN-1069438","Infrastructure Production Manufacturing","EJB VENTURES, LLC","HARMONY EXTRACTS","80216","4237 N Josephine ST , DENVER, CO"
"2013-BFN-1069041","Marijuana Grow Center","CJJ SERVICES, LLC","SACRED SEED","80222","5885 E EVANS AVE , DENVER, CO"
"2013-BFN-1069273","Retail Marijuana Store","TETRAHYDROCENTER LLC","TETRAHYDROCENTER, LLC","80231","9206 E HAMPDEN AVE , DENVER, CO"
"2013-BFN-1069592","Retail Marijuana Store","GOLDEN MEDS, INC","GM ENTERPRISE, INC.","80239","4620 N PEORIA ST , DENVER, CO"
"2013-BFN-1069635","Marijuana Grow Center","GG MERCANTILE, LLC","REDEYE RELEAF","80223","1403 S CHEROKEE ST , DENVER, CO"
"2014-BFN-1072226","Marijuana Grow Center","O LIMITED","SILVER STEM FINE CANNABIS","80223","1110 W VIRGINIA AVE , DENVER, CO"
"2014-BFN-1073251","Marijuana Test Facility","AGRICOR LABORATORIES, LLC","AGRICOR LABORATORIES","80223","1001 S GALAPAGO ST , DENVER, CO"
"2014-BFN-0002501","Medical Marijuana Center","PHYSICIAN PREFERRED PRODUCTS, LLC","PHYSICIAN PREFERRED PRODUCTS, LLC","80216","4080 N GLOBEVILLE RD , DENVER, CO"
"2014-BFN-0002503","Marijuana Grow Center","PHYSICIAN PREFERRED PRODUCTS, LLC","PHYSICIAN PREFERRED PRODUCTS, LLC","80216","4080 N GLOBEVILLE RD , DENVER, CO"
"2014-BFN-0002565","Marijuana Grow Center","BUDDIES WELLNESS LLC","MEDICINAL WELLNESS CENTER","80207","5005 E 39th  , DENVER, CO"
"2014-BFN-0002264","Marijuana Grow Center","BALLPARK HOLISTIC DISPENSARY CORP","BALLPARK HOLISTIC DISPENSARY","80216","4228 N YORK  , DENVER, CO"
"2014-BFN-0004212","Marijuana Grow Center","SIMPLY PURE COLORADO LLC","SIMPLY PURE","80223","2150 S LIPAN ST , DENVER, CO"
"2014-BFN-0004040","Retail Marijuana Store","LIGHTSHADE LABS, LLC","LIGHTSHADE","80232","1126 S SHERIDAN BLVD , DENVER, CO"
"2014-BFN-0004039","Marijuana Grow Center","KPST, LLC","5 BUDS","80223","130 N Lipan  , DENVER, CO"
"2014-BFN-0005396","Marijuana Grow Center","CG NETWORK, LLC","GROUNDSWELL","80216","4360 N VINE ST , DENVER, CO"
"2015-BFN-0003648","Marijuana Grow Center","SUMMIT WELLNESS","DEN-REC DENVER RECRATIONAL DISPENSARY","80223","1901 S BANNOCK ST , DENVER, CO"
"2015-BFN-0003646","Marijuana Grow Center","SUMMIT WELLNESS","DENREC DENVER RECREATIONAL DISPENSARY","80223","2042 S BANNOCK ST , DENVER, CO"
"2015-BFN-0004003","Marijuana Grow Center","MEDICINAL WELLNESS CENTER, LLC","","80223","1255 W VIRGINIA AVE , DENVER, CO"
"2015-BFN-0004354","Retail Marijuana Store","M.J.L.Q LLC","WHOLE MEDS","80216","3450 N BRIGHTON BLVD , DENVER, CO"
"2015-BFN-0005868","Infrastructure Production Manufacturing","DENVER PACKAGING, COMPANY","","80216","5100 N COOK ST , DENVER, CO"
"2015-BFN-0006356","Marijuana Grow Center","THE GIVING TREE OF DENVER, LLC","","80223","1172 W Virginia  , DENVER, CO"
"2015-BFN-0006360","Infrastructure Production Manufacturing","CONNOISSEURS GENETICS & CONCENTRATES, LLC","","80223","2255 S KALAMATH ST , DENVER, CO"
"2015-BFN-0008318","Marijuana Grow Center","LBW CONSULTING, GROUP,LLC","","80239","5070 N OAKLAND ST , DENVER, CO"
"2015-BFN-0008291","Marijuana Grow Center","ANCIENT ALTERNANATIVES","GREEN TREE MEDICINALS","80239","4725 N Oakland St , DENVER, CO"
"2015-BFN-0008390","Medical Marijuana Center","MHFS, LLC","GOOD CHEMISTRY","80211","2563  15TH ST , DENVER, CO"
"2016-BFN-0004024","Retail Marijuana Store","LEVELS IV, INC","LEVELS IV INC","80212","5201 W 48TH AVE , DENVER, CO"
"2016-BFN-0004094","Retail Marijuana Store","JVT ENTERPRISES, INC.","COLORADO CANNABIS CONNECTION","80127","4550 S KIPLING ST , DENVER, CO"
"2016-BFN-0004033","Retail Marijuana Store","HOBBY FARMS LLC","A CUT ABOVE","80210","1911 S BROADWAY  , DENVER, CO"
"2016-BFN-0004374","Infrastructure Production Manufacturing","KIND LOVE, LLC","KIND LOVE","80239","4890 N JOLIET ST , DENVER, CO"
"2016-BFN-0004806","Marijuana Grow Center","SMART CARE, LLC","SMART CARE EXTRACTS","80216","4668 N Glencoe  , DENVER, CO"
"2016-BFN-0004805","Infrastructure Production Manufacturing","SMART CARE, LLC","SMART CARE EXTRACTS","80216","4696 N GLENCOE ST , DENVER, CO"
"2016-BFN-0006286","Infrastructure Production Manufacturing","MILE HIGH WELLNESS II, LLC","GREEN STREET","80223","2291 S KALAMATH ST , DENVER, CO"
"2016-BFN-0008405","Marijuana Grow Center","YUMA WAY, LLC","1136 YUMA","80223","1240 S Bannock St , DENVER, CO"
"2017-BFN-0000575","Marijuana Grow Center","J&P INVESTMENTS, LLC","NEWT BROTHERS ARTISANAL","80216","3850 E 48TH AVE , DENVER, CO"
"2017-BFN-0007541","Marijuana Grow Center","KTA, LLC","","80239","12585 E 39TH AVE , DENVER, CO"
"2017-BFN-0008660","Marijuana Grow Center","MADISON ENTERPRISES LLC","PINK HOUSE CHERRY","80239","10665 E 51st Ave , DENVER, CO"
"2010-BFN-1045891","Medical Marijuana Center","M.J.L.Q., LLC","WHOLE MEDS","80216","3450 N BRIGHTON BLVD , DENVER, CO"
"2010-BFN-1045895","Medical Marijuana Center","NATURE MED, INC","KIND-MEDS","80223","260 N SANTA DR , DENVER, CO"
"2010-BFN-1048014","Medical Marijuana Center","TWOG-YORK, LLC","BUDDY BOY","80216","5050 N YORK ST , DENVER, CO"
"2010-BFN-1048303","Medical Marijuana Center","LIGHTSHADE LABS LLC","LIGHTSHADE","80207","3950 N HOLLY ST , DENVER, CO"
"2010-BFN-1045746","Medical Marijuana Center","ALPINE HERBAL WELLNESS, LLC","FROSTED LEAF","80209","399 S HARRISON ST , DENVER, CO"
"2010-BFN-1045700","Medical Marijuana Center","BEYOND BROADWAY LLC","LIVWELL","80209","432 S BROADWAY  , DENVER, CO"
"2010-BFN-1045865","Medical Marijuana Center","MADISON ENTERPRISES LLC","PINK HOUSE CHERRY","80209","111 S MADISON ST , DENVER, CO"
"2010-BFN-1045403","Medical Marijuana Center","JOIS, LLC","SILVER STEM FINE CANNABIS","80236","3702 W Quincy  , DENVER, CO"
"2010-BFN-1047095","Medical Marijuana Center","ASCEND II, LLC","ASCEND II","80237","3555 S YOSEMITE ST , DENVER, CO"
"2010-BFN-1045773","Medical Marijuana Center","FL89 LLC","FROSTED LEAF","80220","7380 E COLFAX AVE , DENVER, CO"
"2010-BFN-1045782","Medical Marijuana Center","GANJA GOURMET, LLC","GANJA GOURMET","80210","1810 S Broadway  , DENVER, CO"
"2010-BFN-1045788","Medical Marijuana Center","ALTITUDE WELLNESS CENTER, LLC","NATURE'S HERBS AND WELLNESS DTC","80231","3435 S YOSEMITE ST , DENVER, CO"
"2010-BFN-1045824","Medical Marijuana Center","DJR COLORADO, LLC","","80202","1620  MARKET ST , DENVER, CO"
"2010-BFN-1045832","Medical Marijuana Center","MAGNA MARKETING, INC.","HERBS 4 YOU","80203","20 E 9TH AVE , DENVER, CO"
"2012-BFN-1060954","Marijuana Grow Center","TRILL THERAPEUTICS LLC","TRILL ALTERNATIVES","80239","4765 N OAKLAND ST , DENVER, CO"
"2012-BFN-1060636","Marijuana Grow Center","MILE HIGH WELLNESS II, LLC","MILE HIGH WELLNESS - GREEN STREET","80223","2291 S Kalamath  , DENVER, CO"
"2012-BFN-1062009","Marijuana Grow Center","ALTERNATIVE MEDICINE ON CAPITOL HILL","","80223","231 N WYANDOT ST , DENVER, CO"
"2012-BFN-1061632","Marijuana Grow Center","FIREHOUSE ORGANICS NORTH, LLC","FIREHOUSE ORGANICS","80223","2200 S LIPAN ST , DENVER, CO"
"2012-BFN-1060601","Marijuana Grow Center","GREEN MOUNTAIN CARE GROUP, LLC","GREEN MOUNTAIN CARE","80204","777  CANOSA CT , DENVER, CO"
"2012-BFN-1060609","Marijuana Grow Center","GREEN KIWI 2, LLC","LIVWELL","80205","1660 E 40TH AVE , DENVER, CO"
"2012-BFN-1060520","Marijuana Grow Center","COLORADO WELLNESS CENTERS, LLC","LUSH","80223","2490 W 2ND AVE , DENVER, CO"
"2012-BFN-1060522","Marijuana Grow Center","LIGHTSHADE LABS, LLC","LIGHTSHADE","80207","3950 N HOLLY ST , DENVER, CO"
"2012-BFN-1060530","Marijuana Grow Center","CITI-MED, LLC","STARBUDS","80216","4228 N YORK ST , DENVER, CO"
"2012-BFN-1060649","Marijuana Grow Center","NATURES CURE III","THE COLFAX POT SHOP","80223","1342 W CEDAR AVE , DENVER, CO"
"2012-BFN-1061636","Marijuana Grow Center","FIREHOUSE ORGANICS CENTRAL, LLC","FIREHOUSE ORGANICS","80223","2200 S LIPAN ST , DENVER, CO"
"2012-BFN-1061637","Marijuana Grow Center","FIREHOUSE ORGANICS NORTH, LLC","FIREHOUSE ORGANICS","80223","2200 S LIPAN ST , DENVER, CO"
"2013-BFN-1064580","Marijuana Grow Center","NUTRITIONAL ELEMENTS INC.","THE HEALTH CENTER","80239","4800 N NOME ST , DENVER, CO"
"2012-BFN-1062449","Marijuana Grow Center","HERBAL OPTIONS, LLC","GOOD MEDS ENGLEWOOD","80204","866 N NAVAJO ST , DENVER, CO"
"2013-BFN-1065559","Medical Marijuana Center","GREEN FIELDS, LLC","GREENFIELDS","80223","1798 W MISSISSIPPI AVE , DENVER, CO"
"2013-BFN-1069249","Retail Marijuana Store","STONE T.M.C. LLC","THE STONE DISPENSARY","80219","4820  MORRISON RD , DENVER, CO"
"2013-BFN-1067906","Marijuana Grow Center","ANIMAS HERBAL WELLNESS CENTER, INC","PROHIBITION HERB","80223","577 S JASON ST , DENVER, CO"
"2013-BFN-1069780","Infrastructure Production Manufacturing","EC LABS, LLC","ENDOCANNA; BETTER CONCENTRATES","80216","4300 N FOREST ST , DENVER, CO"
"2013-BFN-1070406","Marijuana Grow Center","SUMMIT WELLNESS","DENREC DENVER RECREATIONAL DISPENSARY","80223","2211 S JASON ST , DENVER, CO"
"2013-BFN-1070421","Retail Marijuana Store","THE HERBAL CURE, LLC","","80209","985 S LOGAN ST , DENVER, CO"
"2014-BFN-1070738","Marijuana Grow Center","LEVELS IV INC","LEVELS IV INC","80207","3857 N ELM ST , DENVER, CO"
"2013-BFN-1070430","Retail Marijuana Store","HIGH STREET GROWERS LLC","","80219","330 N FEDERAL BLVD , DENVER, CO"
"2013-BFN-1070064","Marijuana Grow Center","WANNA LLC","NORTHERN LIGHTS CANNABIS CO","80223","1865 S ACOMA ST , DENVER, CO"
"2013-BFN-1069905","Retail Marijuana Store","CO-AGRONOMICS LLC","THE GREEN DEPOT","80210","2020 S BROADWAY  , DENVER, CO"
"2013-BFN-1068322","Marijuana Grow Center","ROYAL ASSET MANAGEMENT, LLC","ROYAL RESIN","80223","755 S JASON ST , DENVER, CO"
"2013-BFN-1068824","Marijuana Grow Center","SIMPLY PURE EDIBLES COLORADO LLC","SIMPLY PURE EDIBLES","80223","2160 S LIPAN ST , DENVER, CO"
"2013-BFN-1068848","Retail Marijuana Store","GT VENTURES I LLC","PANDO","80204","777 N CANOSA CT , DENVER, CO"
"2013-BFN-1068853","Marijuana Grow Center","CONCENTRATE LLC","CONCENTRATE","80239","11100 E 51ST AVE , DENVER, CO"
"2013-BFN-1069355","Retail Marijuana Store","MAGNA MARKETING, INC","HERBS 4 YOU","80203","20 E 9TH AVE , DENVER, CO"
"2013-BFN-1070182","Marijuana Grow Center","GREEN GRASS, LLC","GREEN GRASS CENTRAL CITY","80204","670 N BRYANT ST , DENVER, CO"
"2014-BFN-1070926","Marijuana Grow Center","REDWOOD INVESTMENT PARTNERS, LLC","BONSAI CULTIVATION","80231","1955 S QUINCE ST , DENVER, CO"
"2014-BFN-1070935","Retail Marijuana Store","JVJC HOLDINGS III, LLC","","80216","5194 N WASHINGTON ST , DENVER, CO"
"2014-BFN-1070939","Marijuana Grow Center","VIOLA, INC","VIOLA'S EXTRACTS","80239","4645 N Joliet  , DENVER, CO"
"2014-BFN-1072246","Infrastructure Production Manufacturing","GAIAS GARDEN, LLC","GIA'S GARDEN","80216","4785 N Elati  , DENVER, CO"
"2014-BFN-1072819","Marijuana Grow Center","PLATTE VALLEY DISPENSARY, LLC","PLATTE VALLEY DISPENSARY","80205","3104  BLAKE ST , DENVER, CO"
"2014-BFN-1073723","Marijuana Grow Center","BUSHES, LLC","THE STATION",NA,"2650 W 6th  , DENVER, CO"
"2014-BFN-1074231","Marijuana Grow Center","SWEETWATER PARTNERS LLC","WS EL JEFE","80216","4260  KEARNEY ST , DENVER, CO"
"2014-BFN-1071719","Marijuana Test Facility","TERRA HEALTH CARE LABS, INC.","AGRISCIENCE LABS","80222","2120 S BIRCH ST , DENVER, CO"
"2014-BFN-0002962","Marijuana Grow Center","VIOLA, INC.","VIOLA'S EXTRACTS","80239","4645 N JOLIET ST , DENVER, CO"
"2014-BFN-0003250","Retail Marijuana Store","DENCO, LLC","","80216","5155 E 46TH AVE , DENVER, CO"
"2014-BFN-0003120","Marijuana Grow Center","MMJ AMERICA INC.","BOULDER MMJ","80204","1617 W 12TH AVE , DENVER, CO"
"2014-BFN-0003256","Infrastructure Production Manufacturing","B'S TREATS LLC","","80223","1952 S ACOMA ST , DENVER, CO"
"2014-BFN-0004808","Infrastructure Production Manufacturing","PNW, LLC","","80223","701 W MISSISSIPPI AVE , DENVER, CO"
"2014-BFN-0004524","Marijuana Grow Center","GREEN LEAF, LLC","","80204","890 N NAVAJO ST , DENVER, CO"
"2014-BFN-0004597","Marijuana Grow Center","BGOOD VENTURES, LLC","BGOOD","80223","1031 W CENTER AVE , DENVER, CO"
"2014-BFN-0004769","Medical Marijuana Center","MJM HOLDINGS LIMITED","STICKY FINGERZ","80205","3954 N WILLIAMS ST , DENVER, CO"
"2015-BFN-0000860","Retail Marijuana Store","505 CENTER, LLC","PURE MEDICAL DISPENSARY","80216","505 W 40TH AVE , DENVER, CO"
"2015-BFN-0000690","Marijuana Grow Center","SAPPHIRE POINT GROUP, LLC","","80239","10625 E 51st AVE , DENVER, CO"
"2013-BFN-1064077","Marijuana Grow Center","505 CENTER, LLC","PURE MEDICAL DISPENSARY","80239","5475 N PEORIA ST , DENVER, CO"
"2015-BFN-0000251","Infrastructure Production Manufacturing","EVERGREEN ENTERPRISES, LTD.","EVERGREEN EXTRACTS","80223","1770 S ACOMA ST , DENVER, CO"
"2015-BFN-0001521","Marijuana Grow Center","RJJ SANTA FE, LLC","NATIVE ROOTS SANTA FE","80216","4990 N DAHLIA ST , DENVER, CO"
"2015-BFN-0002034","Marijuana Grow Center","BK HOLDINGS, LLC","THE HERBAL CENTER","80223","1980 S ACOMA ST , DENVER, CO"
"2015-BFN-0001698","Marijuana Grow Center","VITA MEDS LLC","MR. NICEGUYS","80211","4421  INCA ST , DENVER, CO"
